"Interval start","All packets"
0,1.03049e+06
1,1.17225e+06
2,914184
3,1.37875e+06
4,717488
5,1.05246e+06
6,1.09838e+06
7,1.02393e+06
8,1.24081e+06
9,807408
10,1.05497e+06
11,1.0863e+06
12,1.00218e+06
13,1.18739e+06
14,912768
15,1.42263e+06
16,712040
17,1.00714e+06
18,1.15192e+06
19,936104
20,1.34825e+06
21,789272
22,1.01648e+06
23,1.07452e+06
24,1.00869e+06
25,1.18719e+06
26,928680
27,1.40789e+06
28,705672
29,1.01233e+06
30,1.12961e+06
31,998616
32,1.31838e+06
33,776992
34,1.0159e+06
35,1.10338e+06
36,1.02194e+06
37,1.17193e+06
38,887016
39,1.49546e+06
40,658944
41,1.03293e+06
42,1.11152e+06
43,910544
44,1.28395e+06
45,820640
46,1.06274e+06
47,1.05705e+06
48,1.02624e+06
49,1.1675e+06
50,927688
51,1.41146e+06
52,682416
53,1.04519e+06
54,1.10559e+06
55,984808
56,1.31377e+06
57,780904
58,1.05595e+06
59,992344
